student_id,first_name,last_name,dob,phone,state,region,beng,eng,math,phy,chem,comp
1001,Navya,Bhalla,16-05-2006,4332181960,Arunachal Pradesh,North,37,39,74,87,13,81
1002,Kiaan,Sehgal,14-01-2007,8637940265,Ladakh,East,37,53,23,21,58,22
1003,Taimur,Vaidya,17-09-2006,4078161849,Mizoram,North East,34,18,15,94,39,47
1004,Dhanush,Varma,05-08-2006,9.16475E+11,Gujarat,North East,41,30,69,58,44,91
1005,Prisha,Mallick,31-07-2006,5030564139,Maharashtra,East,93,73,60,92,68,28
1006,Prerak,Boase,10-08-2006,8849696532,Tripura,West,21,16,24,29,90,30
1007,Vritika,Sangha,17-10-2006,1669784801,Uttarakhand,South,92,53,24,47,65,30
1008,Amani,Agarwal,11-02-2007,4828148932,Mizoram,East,79,77,10,86,51,72
1009,Advik,Bhalla,02-05-2007,4303911718,Delhi,East,94,70,80,31,43,77
1010,Mahika,Kakar,28-07-2006,3465787133,Chandigarh (UT),South,12,85,80,39,85,38
1011,Aarush,Banik,05-02-2007,310518347,Jammu and Kashmir,North East,26,83,83,70,41,70
1012,Zara,Jani,19-07-2006,9.11657E+11,Manipur,North,41,34,34,78,67,27
1013,Aarna,Chand,23-08-2006,3178108013,Gujarat,West,72,71,37,61,17,31
1014,Vaibhav,Agarwal,05-10-2006,7468723430,Uttarakhand,North,50,17,16,84,71,74
1015,Eva,Brar,29-05-2006,1219136193,Assam,North East,20,63,94,84,82,76
1016,Saksham,De,25-07-2006,5346247510,Sikkim,North East,82,22,19,78,37,74
1017,Prerak,Bhatti,04-05-2007,1354278498,Andhra Pradesh,South East,80,48,94,23,27,43
1018,Farhan,Walia,17-06-2006,8244935348,Telangana,South,16,21,91,64,45,15
1019,Aarav,Ganesan,02-03-2007,9.14279E+11,Uttarakhand,North,57,84,80,28,65,26
1020,Arnav,Dube,25-09-2006,9.15332E+11,Gujarat,East,62,13,32,52,62,95
1021,Sara,Tak,11-08-2006,2160733754,Jharkhand,East,13,94,34,61,52,45
1022,Darshit,Som,23-08-2006,8685014294,Assam,North,86,65,54,50,65,87
1023,Diya,Bhardwaj,03-10-2006,3406088356,Chandigarh (UT),South East,52,89,50,94,25,48
1024,Dishani,Dubey,20-01-2007,5648236629,Madhya Pradesh,West,80,10,48,46,36,65
1025,Vedika,Mann,28-12-2006,5777387214,Tripura,South East,91,89,52,21,40,96
1026,Sahil,Chowdhury,16-03-2007,9.12004E+11,Himachal Pradesh,South East,99,59,73,61,41,28
1027,Neysa,Sankaran,09-05-2006,9.16329E+11,Delhi,West,95,77,81,86,50,66
1028,Manjari,Tandon,10-02-2007,6872774348,Telangana,South East,40,45,66,19,46,40
1029,Purab,Ganesh,08-09-2006,1223623166,Manipur,North East,69,63,17,36,63,59
1030,Trisha,Master,01-02-2007,9.19671E+11,Jharkhand,West,38,44,65,72,13,59
1031,Shayak,Sami,25-01-2007,2729806990,Chhattisgarh,South East,64,27,69,33,16,43
1032,Vaibhav,Gade,28-07-2006,5564641708,Bihar,South,38,93,18,93,15,13
1033,Nishith,Chaudhry,28-03-2007,9.19233E+11,Mizoram,East,87,87,24,30,49,23
1034,Kavya,Arya,02-05-2007,9663193149,Daman and Diu (UT),North East,15,54,78,64,94,57
1035,Darshit,Kulkarni,13-01-2007,671657262,Uttar Pradesh,South East,44,88,78,71,69,65
1036,Sana,Rajagopalan,19-08-2006,3147379965,Arunachal Pradesh,West,51,33,72,37,55,43
1037,Shlok,Dey,13-04-2007,4808313678,Karnataka,South East,70,92,72,67,12,21
1038,Ritvik,Choudhry,11-10-2006,3495788568,Manipur,South,99,68,44,49,42,39
1039,Fateh,Sen,20-07-2006,1823374989,Lakshadweep (UT),North,34,47,39,56,32,48
1040,Abram,Sathe,30-11-2006,9.14008E+11,Lakshadweep (UT),West,71,66,53,33,16,42
1041,Anvi,Bhandari,22-03-2007,9.16719E+11,Karnataka,North,81,63,87,86,89,38
1042,Urvi,Lal,01-10-2006,7496499091,Jammu and Kashmir,South East,37,43,94,20,30,40
1043,Jayant,Majumdar,05-06-2006,9.1068E+11,Sikkim,North,97,39,43,90,85,94
1044,Zaina,Chaudhary,19-10-2006,9.18324E+11,Lakshadweep (UT),West,25,69,98,48,99,61
1045,Purab,Krishna,02-12-2006,7190659401,Jharkhand,South East,83,85,12,96,44,83
1046,Arnav,Singh,24-02-2007,9.17874E+11,Meghalaya,West,52,51,95,23,30,52
1047,Zain,Saran,15-11-2006,6807154516,Tripura,North,94,79,69,62,16,34
1048,Ela,Golla,03-01-2007,7034824771,Arunachal Pradesh,South East,87,40,30,49,80,11
